"X","State.Code","County.Code","Site.Num","Parameter.Code","POC","Latitude","Longitude","Datum","Parameter.Name","Date.Local","Time.Local","Date.GMT","Time.GMT","Sample.Measurement","Units.of.Measure","MDL","Uncertainty","Qualifier","Method.Type","Method.Code","Method.Name","State.Name","County.Name","Date.of.Last.Change"
4462,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-02","20:00","2022-01-03","04:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4463,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-02","21:00","2022-01-03","05:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4464,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-02","22:00","2022-01-03","06:00",0.003,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4465,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-02","23:00","2022-01-03","07:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4466,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","00:00","2022-01-03","08:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4467,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","01:00","2022-01-03","09:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4468,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","02:00","2022-01-03","10:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4469,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","03:00","2022-01-03","11:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4470,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","04:00","2022-01-03","12:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4471,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","05:00","2022-01-03","13:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
